dialect,standard
맨자지근하다,매지근하다
맬갛다,말갛다
맬금하다,말끔하다
맬꼼하다,말끔하다
맬끔하다,말끔하다
맵삭하다,맵싸하다
머하다,무엇하다
머석하다,무엇하다
멀구수룸하다,멀그스름하다
멀그수리하다,멀그스레하다
멀금하다,멀끔하다
멍충시럽다,멍청스럽다
메시껍다,메스껍다
메타분하다,야무지다
멘덧하다,밋밋하다
멩랑시럽다,명랑스럽다
멩에시럽다,명예스럽다
모꾼하다,묵직하다
모디다,마디다
모똑찮다,마뜩잖다
모멜시럽다,모멸스럽다
몰가다,맑다
모졸시럽다,모지락스럽다
모졸시럽다,몰강스럽다
모찌다,마디다
모차다,모질다
몬떼다,못되다
몬몬하다,만만하다
몯다,마디다
몬하다,못하다
몰둑시럽다,불편하다
몰똑찮다,마뜩잖다
몰상시럽다,상스럽다
몰짱하다,말짱하다
몹다,맵다
몹다,냅다
못다,마디다
몽창시럽다,몽총하다
몽창하다,몽총하다
지거럽다,징그럽다
지딱하다,삐딱하다
지떡지떡하다,삐딱삐딱하다
지룹다,저리다
지잖다,못지않다
질겁다,즐겁다
질쭉하다,길쭉하다
질쭘질쭘하다,길쯤길쯤하다
짐시럽다,짐스럽다
집지다,재미있다
징글받다,징글맞다
징글시럽다,징그럽다
짜리몽탕하다,작달막하다
짜시락하다,자잘하다
짜자부리하다,자질구레하다
짜징시럽다,짜증스럽다
짭찔하다,짭짤하다
짱딸막하다,땅딸막하다
째꼴하다,쩨쩨하다
짼허다,짠하다
쩌깬하다,조그마하다
쩌르다,짧다
찌부덩하다,찌뿌둥하다
찌부등하다,기우뚱하다
쪼깬하다,조그마하다
쪼깮다,조그마하다
쪼껜하다,조그마하다
쪼부당하다,좁다랗다
쫌상쫌상하다,좀상좀상하다
쫍쫍하다,좁다랗다
쬐맨하다,쪼그마하다
찌리찌리하다,찌릿찌릿하다
찌이다,떫다
찍지붓하다,찌뿌드드하다
찍찌붓하다,찌뿌드드하다
차롬하다,골막하다
찰떡겉다,찰떡같다
찹찹하다,꽤 찬 느낌이 있다
챙피시럽다,창피스럽다
챙피허다,창피하다
처랑하다,처량하다
천연덕시럽다,천연덕스럽다
천지다,아주 많다
철떡겉다,찰떡같다
철통겉다,철통같다
성그렇다,서느렇다
상그랍다,위태롭다
상그랗다,눈에 힘이 없어 보이다
상그랗다,차다
상그럽다,사납다
상그리하다,향긋하다
상금하다,향긋하다
새그룹다,시다
새기다,깔깔하다
새꼬롬하다,날씨가 쌀쌀하고 비나 눈이 올 듯하다
새비까리다,물건 따위가 쌓일 만큼 퍽 흔하고 많다
새첩다,예쁘다
새칩다,예쁘다
생강시럽다,새삼스럽다
서분하다,서운하다
석상하다,배부르다
선드거리하다,선득하다
선뜩하다,섬뜩하다
세거랍다,시다
세구랍다,시다
세다,굵다
세피하다,하찮다
소답하다,오붓하다
누르텅텅하다,누르퉁퉁하다
높우담하다,높다랗다
뇔뇔하다,놀놀하다
누구룹다,너그럽다
누구룹다,누그럽다
누럽다,마렵다
누루무리하다,누르무레하다
누루수룸하다,누르스름하다
누루수리하다,누르스레하다
누루탱탱하다,누르퉁퉁하다
