dialect,standard
찐데기,진드기
찐드러기,진드기
찐디기,진드기
찐디물,진딧물
찐떡,시루떡
찐지렁물,지지랑물
찐지레기,지스러기
찐지레이,지스러기
찔라래비,잠자리
찔리,찔레
찔찔이,여치
찜부리,찜부럭
찝게,집게
찝게돝,덫
찝게뽐,집게뼘
찝게손가락,집게손가락
찝게틀,덫
찟빛,쥣빛
찡게미,징거미
차납,찬합
찡기미,징거미
차냅,찬합
차돌메이,차돌멩이
차멩오리,장수잠자리
차발통,차바퀴
차분밥,찬밥
차서숙,차조
차외,참외
차잔수,차조
차판,처지
차포,차표
찬깨고리,청개구리
찬깨구리,청개구리
찬깨꾸리,청개구리
찬꼬고리,청개구리
찬꼬구리,청개구리
찬조,차조
찬조비,차조
찬지름,참기름
찰강내이,찰옥수수
찰개,공기
찰갯돌,공깃돌
찰거무리,찰거머리
찰꿀밤,상수리
찰꿀밤나무,상수리나무
찰랑개비,잠자리
찰래비,잠자리
찰레비,잠자리
찰밥나무,도깨비바늘
찰부끼미,찰부꾸미
찰서숙,차좁쌀
찰쑤시,찰수수
찰점시리,차조
참거무리,참거머리
참골,왕골
참기,참게
참꿀밤,도토리
참나락,찰벼
참나리꽃,개나리꽃
참딩기,등겨
참장어,갯장어
참박,박
참뱃줄,참바
참새게기,참새고기
참새미,샘
참에,참외
참연,방패연
참조,차조
참조구,참조기
참헤오리,잠자리
참헹오리,잠자리
찹살꼬치장,찹쌀고추장
창가오리,노랑가오리
창깨구리,청개구리
창사,창자
창소,창자
창수,창자
창식,창자
창싸,창자
창쑤기미,쑤기미
창지,창자
창지간,헛간
채,수채
채끼,덫
채소꾸리,삼태기
채소쿠리,삼태기
채알,차일
책거풀,책가위
채전밭,채소밭
책거불,책가위
챔견,참견
챔빚,참빗
챗독,쌀독
챙겅,창경
처니,처녀
처니야,아가씨
처동,천둥
처이장개,처녀장가
처이태,처녀티
처매,처마
처머이,처음
처문지,처음
처미,처마
처미,취미
처배이,잠자리
처수,처남댁
처어리,정어리
처이,처녀
처조캐,처조카
처지,처제
천덕꾸레기,천덕꾸러기
천디구디,천덕구니
천디기,천더기
천딩이,천더기
천마,처마
천막밑,기스락
천매,처마
천새,처마
철겅이,잠자리
철구다리,철교
철기,껑거리
철기,잠자리
철때이,철따구니
철비,잠자리
철사줄,쇠줄
철임석,철음식
첨머이,처음
첨먼이,처음
첨무이,처음
첨문지,처음
첨빗,참빗
첫머이,처음
첫새북,첫새벽
첫이리,첫이레
청국밀,호밀
청띠푸리,밴댕이
청마리,마루
청망어,공미리
청바닥,마루
청사리,청상아리
청생아리,청새리상어
산취,송아지
산치,송아지
산치거리,산기슭
산태미,삼태기
산토까이,산토끼
살간,살강
삳날,사흗날
살,주름살
살가니,살강
살가지,살쾡이
살강이,살강
